"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.766434573E0,-7.422025502E-2,-4.477157295E-1,9.665391922E0,9.676040462E0
2.776397051E0,-7.302315533E-2,-4.453215301E-1,9.665391922E0,9.675920868E0
2.786377353E0,-6.943184882E-2,-4.548983276E-1,9.660603523E0,9.671556943E0
2.796409197E0,-7.302315533E-2,-4.477157295E-1,9.664195061E0,9.674835809E0
2.806389832E0,-8.020575345E-2,-4.465186298E-1,9.677363396E0,9.687991234E0
2.816349030E0,-7.302315533E-2,-4.441244006E-1,9.661801338E0,9.672279150E0
2.826328342E0,-7.541735470E-2,-4.501099288E-1,9.666589737E0,9.677357277E0
2.836655004E0,-8.020575345E-2,-4.525041282E-1,9.668983459E0,9.679898454E0
2.846513829E0,-7.541735470E-2,-4.477157295E-1,9.664195061E0,9.674854176E0
2.856471862E0,-7.900865376E-2,-4.501099288E-1,9.670180321E0,9.680972511E0
2.866403873E0,-7.422025502E-2,-4.477157295E-1,9.666589737E0,9.677236959E0
2.876411076E0,-7.661445439E-2,-4.477157295E-1,9.672574997E0,9.683234285E0
2.886383324E0,-7.302315533E-2,-4.608838260E-1,9.671378136E0,9.682628844E0
2.896423744E0,-7.541735470E-2,-4.441244006E-1,9.668983459E0,9.679471855E0
2.906393850E0,-7.661445439E-2,-4.393360019E-1,9.670180321E0,9.680458322E0
2.916383695E0,-7.781155407E-2,-4.405331016E-1,9.673771858E0,9.684109975E0
2.926387367E0,-7.422025502E-2,-4.501099288E-1,9.674968719E0,9.685717698E0
2.936393969E0,-7.781155407E-2,-4.405331016E-1,9.664195061E0,9.674543412E0
2.946373807E0,-8.259996027E-2,-4.381389022E-1,9.670180321E0,9.680453289E0
2.956357293E0,-7.422025502E-2,-4.453215301E-1,9.661801338E0,9.672343305E0
2.966737474E0,-7.661445439E-2,-4.525041282E-1,9.682151794E0,9.693022910E0
2.976572877E0,-7.661445439E-2,-4.501099288E-1,9.662998199E0,9.673779144E0
2.986462245E0,-7.781155407E-2,-4.489128292E-1,9.662998199E0,9.673733073E0
2.996450366E0,-8.259996027E-2,-4.489128292E-1,9.665391922E0,9.676163831E0
3.006418229E0,-6.823474914E-2,-4.453215301E-1,9.668983459E0,9.679473559E0
3.016408541E0,-7.541735470E-2,-4.441244006E-1,9.670180321E0,9.680667420E0
3.026394244E0,-6.943184882E-2,-4.596867263E-1,9.671378136E0,9.682545518E0
3.036385975E0,-7.541735470E-2,-4.441244006E-1,9.667786598E0,9.678276291E0
3.046395148E0,-7.062894851E-2,-4.465186298E-1,9.671378136E0,9.681937945E0
3.056366870E0,-7.541735470E-2,-4.441244006E-1,9.647436142E0,9.657947938E0
3.066386325E0,-7.781155407E-2,-4.548983276E-1,9.661801338E0,9.672817181E0
3.076401938E0,-7.541735470E-2,-4.501099288E-1,9.667786598E0,9.678552807E0
3.086407088E0,-7.302315533E-2,-4.405331016E-1,9.665391922E0,9.675701670E0
3.096454064E0,-7.900865376E-2,-4.393360019E-1,9.667786598E0,9.678086391E0
3.106427500E0,-7.661445439E-2,-4.489128292E-1,9.658209801E0,9.668940431E0
3.116345937E0,-8.020575345E-2,-4.513070285E-1,9.657012939E0,9.667885493E0
